ticker,entry_date,return_pct,duration_days,rsi_at_entry,atr_pct_at_entry,dist_atr_at_entry,weekday,month,Date,regime_bull
GTX,2025-06-02,4.995983393150895,29,30.022069153239077,4.496868037160273,2.1497889060583355,Monday,6,2025-06-02,True
TRVI,2025-06-03,6.927322166180716,1,39.232407933457424,8.631446043371719,2.364294476015413,Tuesday,6,2025-06-03,True
UTI,2025-06-10,6.330031126299296,13,32.47232813015303,4.329907275613574,3.7453378958892665,Tuesday,6,2025-06-10,True
PCRX,2025-06-11,-4.673747516881285,20,31.854842961414803,4.210451205482976,1.399069865561875,Wednesday,6,2025-06-11,True
CGNT,2025-06-11,-6.665343325743091,2,28.787883561218848,5.005345479595298,0.9460308414331376,Wednesday,6,2025-06-11,True
TSHA,2025-06-20,8.713839601771204,21,34.37501243694295,9.035452947268489,2.1341707113217443,Friday,6,2025-06-20,True
ABEO,2025-06-20,-5.627499191441218,11,38.255045869722096,5.980146294650006,0.7260391365744673,Friday,6,2025-06-20,True
ATAI,2025-06-23,13.029332161816818,4,34.4370896423336,10.006174393228122,1.7609588332648385,Monday,6,2025-06-23,True
TRVI,2025-06-25,9.72844552257029,14,32.62548483043501,7.188528627540348,1.523276185164759,Wednesday,6,2025-06-25,True
BCRX,2025-06-27,-9.165376394175611,24,10.747680140601531,4.268576239444489,2.2208936083589967,Friday,6,2025-06-27,True
TK,2025-07-02,-4.831130758345373,29,34.798533468439075,4.4261137485316295,0.9113088666056076,Wednesday,7,2025-07-02,True
UTI,2025-07-08,1.3559812175262678,28,38.66943576896991,4.31123915866984,1.979872515586529,Tuesday,7,2025-07-08,True
NVTS,2025-07-11,14.682361075048952,7,35.9036121217607,10.307327774720552,3.786540204177484,Friday,7,2025-07-11,True
GRPN,2025-07-15,7.721841011920945,7,36.924281331293066,5.38923691980647,7.5889645329512945,Tuesday,7,2025-07-15,True
ADPT,2025-07-18,9.165019864236791,18,28.787891801753688,5.283167465835527,3.538335366466689,Friday,7,2025-07-18,True
LIND,2025-07-28,6.917765353276778,7,32.70441821538128,4.163243266858598,1.8915127845180435,Monday,7,2025-07-28,True
PSNL,2025-07-29,-21.236285488050527,8,25.76687392652866,7.88214275121849,1.2955951431340107,Tuesday,7,2025-07-29,True
GRPN,2025-07-29,23.86118237893889,9,26.90219866723029,5.603645008666862,6.0484017570654665,Tuesday,7,2025-07-29,True
SLS,2025-07-29,13.307185171098473,24,34.78261249688582,7.9728314632283634,2.033533626628656,Tuesday,7,2025-07-29,True
SKE,2025-07-30,13.323662103355383,8,30.818963386639524,5.238780042696433,2.869815512105088,Wednesday,7,2025-07-30,True
EVC,2025-07-30,6.379318306135759,7,29.333349739977123,4.682709578332464,1.0486289757233085,Wednesday,7,2025-07-30,True
CIFR,2025-07-30,12.86032461718724,19,38.34808745810379,9.702382983800495,2.268114316788866,Wednesday,7,2025-07-30,True
DRS,2025-07-30,-2.995543129853115,28,38.40803240520058,4.022868530884621,3.064235169318328,Wednesday,7,2025-07-30,True
MAMA,2025-07-30,1.8266118603625132,28,39.69465655430171,4.9148023494551945,2.509831017029988,Wednesday,7,2025-07-30,True
APPS,2025-07-30,8.311479980945592,1,39.24731525395891,8.700216028230525,2.655719494479233,Wednesday,7,2025-07-30,True
TGB,2025-07-30,8.968244998862504,8,22.5490163192611,5.759384400729474,4.028207894978152,Wednesday,7,2025-07-30,True
CLSK,2025-07-30,-18.220493918113284,20,33.105024713672535,7.049881200824169,2.194519805117381,Wednesday,7,2025-07-30,True
HBM,2025-07-30,25.946124307130148,14,20.863288516457445,4.167582409337644,1.6975115390844195,Wednesday,7,2025-07-30,True
LXU,2025-07-31,-4.464811422624847,7,33.191465505569425,5.095429539060563,0.6326853078519348,Thursday,7,2025-07-31,True
CVI,2025-07-31,9.370327990952983,27,21.993843526192023,4.704932584609313,3.839317788934667,Thursday,7,2025-07-31,True
SHLS,2025-07-31,7.399078554190769,5,38.72548878451277,6.316104390356443,2.560622401223995,Thursday,7,2025-07-31,True
MGTX,2025-07-31,8.57552716030137,13,30.66036771348369,5.520617241746556,2.5589954278846934,Thursday,7,2025-07-31,True
CORZ,2025-08-01,6.473165871636473,3,37.29048780257477,6.614447874813613,1.5936283775486333,Friday,8,2025-08-01,True
CALY,2025-08-01,19.361701660368137,6,39.19598542090949,5.517841225950368,1.505044447481904,Friday,8,2025-08-01,True
RIOT,2025-08-01,18.85164885840512,21,38.8888832384707,8.625156191705036,1.0654978285848202,Friday,8,2025-08-01,True
CLMT,2025-08-01,-7.542748718073581,7,36.27759477116065,4.795449056134738,1.0032619070793265,Friday,8,2025-08-01,True
SGMT,2025-08-01,14.452000461925168,6,35.76470851006526,10.599760736452152,3.7178655088621104,Friday,8,2025-08-01,True
AGIO,2025-08-01,10.129659608023514,21,29.080114287489224,5.159722055383602,1.2343596244578203,Friday,8,2025-08-01,True
IMMX,2025-08-04,9.200042268141678,1,38.54166791550532,8.24520673705067,2.1867153599665587,Monday,8,2025-08-04,True
PAYS,2025-08-05,-25.87654428605087,29,34.661359080950405,6.707374893677627,6.717548361253171,Tuesday,8,2025-08-05,True
COGT,2025-08-06,6.907740477840357,7,32.17392348926542,5.869210953778419,5.478636554645603,Wednesday,8,2025-08-06,True
LEGN,2025-08-06,-8.317210261029222,19,27.49244163632541,4.215877870081436,1.62812065996982,Wednesday,8,2025-08-06,True
NVRI,2025-08-06,10.12822848144152,7,31.48934441831463,4.53063703169174,1.135358923514886,Wednesday,8,2025-08-06,True
IMMX,2025-08-07,-18.173642168842843,20,30.1369891441734,10.117073974281553,1.2423317970895338,Thursday,8,2025-08-07,True
NEXT,2025-08-07,7.588856069005499,28,22.61482754091547,5.2693121399801415,3.712325569836193,Thursday,8,2025-08-07,True
SGHC,2025-08-07,7.027830674851369,6,21.7777527760652,4.0495817573520005,4.636333051870321,Thursday,8,2025-08-07,True
WBD,2025-08-07,1.9058179361699132,29,36.22290686035565,4.148200815563864,3.0838858149849124,Thursday,8,2025-08-07,True
MGNI,2025-08-07,5.97313127978094,7,30.855535746755194,4.593465135813742,4.980455280533112,Thursday,8,2025-08-07,True
ALOY,2025-08-07,-3.933183824571823,29,37.52969318505886,9.946045352392147,3.6206913205983056,Thursday,8,2025-08-07,True
SHLS,2025-08-07,-6.692451657758871,4,37.11340543082072,8.36785025749691,0.6804519740469134,Thursday,8,2025-08-07,True
GPRE,2025-08-07,10.869629947617709,4,38.98305367607392,5.722960747026378,2.784759912905733,Thursday,8,2025-08-07,True
AMLX,2025-08-08,5.792039939356802,4,39.52205465634631,5.885302403351782,6.132797375027663,Friday,8,2025-08-08,True
APPS,2025-08-08,-8.926893895837502,11,33.14606299619392,10.931972053815832,0.7449762313147998,Friday,8,2025-08-08,True
CALY,2025-08-11,11.733179523495467,2,37.47841665240236,7.416817443734287,1.189342474708944,Monday,8,2025-08-11,True
POET,2025-08-12,9.594117830203905,29,21.897808455729248,8.741361045912633,0.9543687747405422,Tuesday,8,2025-08-12,True
